Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
1,110.0,21,0.009086099998967256,"[0, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]",10,0.2,4096
2,116.0,33,0.017422199998691212,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.2,4096
4,116.0,55,0.02795009999681497,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.2,4096
8,116.0,99,0.0411415999988094,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 0]",10,0.2,4096
16,118.0,189,0.059038899998995475,"[1, 1, 2, 1, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0]",10,0.2,4096
32,123.0,367,0.08888920000026701,"[1, 1, 2, 0, 2, 1, 2, 1, 0, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 1, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0]",10,0.2,4096
64,125.0,721,0.14592789999733213,"[1, 1, 2, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 0]",10,0.2,4096
128,133.0,1431,0.2388654999958817,"[1, 1, 2, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",10,0.2,4096
256,136.0,2842,0.4514573999986169,"[1, 1, 2, 0, 0, 1, 2, 1, 2, 0, 2, 0, 0, 0, 1, 2, 2, 1, 2, 1, 2, 1, 1, 0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1]",10,0.2,4096
512,140.0,5662,0.8305326999980025,"[1, 2, 1, 0, 1, 1, 2, 1, 2, 0, 2, 0, 0, 0, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1]",10,0.2,4096
