Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
2,104.0,950,0.2076980999991065,"[2, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 1, 2, 1]",5,4096,3
4,104.0,952,0.2105745000008028,"[2, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 2, 1, 0, 2, 1, 0, 1, 2, 1]",5,4096,3
8,108.0,959,0.21386310000525555,"[2, 0, 1, 0, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 2, 1, 0, 1, 2, 1]",5,4096,3
16,114.0,971,0.21799209999880986,"[2, 2, 0, 0, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 0, 0, 1, 0, 1, 2, 1, 2, 1, 0, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1]",5,4096,3
32,121.0,991,0.22448540000186767,"[2, 2, 0, 0, 1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 1, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1]",5,4096,3
64,125.0,1027,0.23493920000328217,"[2, 2, 0, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 2, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 0, 1, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0, 1, 2, 1]",5,4096,3
128,131.0,1095,0.25567180000507506,"[2, 2, 0, 0, 1, 1, 0, 2, 2, 0, 2, 2, 1, 0, 2, 0, 1, 0, 1, 1, 0, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 1, 2, 0, 2, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
256,138.0,1229,0.2947496000051615,"[2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
512,138.0,1287,0.3150811000014073,"[2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
1024,138.0,1287,0.3150811000014073,"[2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
2048,138.0,1287,0.3150811000014073,"[2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
4096,138.0,1287,0.3150811000014073,"[2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1]",5,4096,3
0,102.0,1287,0.3179521999991266,"[0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2]",5,4096,4
1,104.0,1289,0.3209190000052331,"[0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2]",5,4096,4
2,104.0,1290,0.3240116000015405,"[0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2]",5,4096,4
4,104.0,1292,0.3271865999995498,"[0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1, 1, 1, 2, 0, 2]",5,4096,4
8,107.0,1297,0.3308130000004894,"[0, 0, 0, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 2, 2, 1, 1, 1, 2, 0, 2]",5,4096,4
16,113.0,1308,0.3361081000039121,"[0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 2, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 1, 2, 0, 2]",5,4096,4
32,120.0,1327,0.34399000000121305,"[0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 2, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 0, 2]",5,4096,4
64,126.0,1363,0.3566616000025533,"[0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 1, 2]",5,4096,4
128,127.0,1428,0.38023290000273846,"[0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1, 1, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 1, 2]",5,4096,4
256,132.0,1561,0.43069150000519585,"[0, 2, 0, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 0, 1, 2, 2, 0, 1, 2, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 1, 2]",5,4096,4
512,141.0,1798,0.5203130000008969,"[0, 2, 0, 1, 1, 2, 2, 1, 2, 0, 2, 1, 0, 0, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 0, 1, 0]",5,4096,4
1024,141.0,1798,0.5203130000008969,"[0, 2, 0, 1, 1, 2, 2, 1, 2, 0, 2, 1, 0, 0, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 0, 1, 0]",5,4096,4
2048,141.0,1798,0.5203130000008969,"[0, 2, 0, 1, 1, 2, 2, 1, 2, 0, 2, 1, 0, 0, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 0, 1, 0]",5,4096,4
4096,141.0,1798,0.5203130000008969,"[0, 2, 0, 1, 1, 2, 2, 1, 2, 0, 2, 1, 0, 0, 1, 2, 2, 0, 2, 1, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 0, 0, 1, 0]",5,4096,4
